"","population","year","site","nest","species","exp","type","laid","hatch","manip","ring","mate_ring","chick1","chick2","chick3","chick4","chick5","chick6","comments","field_sex_focal","field_sex_mate","code","nest.id","year.cr","year.mr","year.code","first.res","last.res","first.cap","last.cap","first.cap.r","last.cap.r","laying_date","found_date","end_date","fate","latitude","longitude","no_chicks","clutch_size","laying_date.r","found_date.r","end_date.r","hatching_date.r","first.bf.adult","last.bf.adult","adult.not.seen.bf","times.adult.not.seen","total.brood.res","last.bf.adult.before.desertion","datenot.seen.after.desertion","first.bf","last.bf","chicks.alive.last","chicks.not.seen.bf","first.bf.adult.r","last.bf.adult.r","adult.not.seen.bf.r","last.bf.adult.before.desertion.r","datenot.seen.after.desertion.r","first.bf.r","last.bf.r","chicks.alive.last.r","chicks.not.seen.bf.r","chick1.capdate","chick1.tarsus","chick1.weight","chick2.capdate","chick2.tarsus","chick2.weight","chick3.capdate","chick3.tarsus","chick3.weight","largest.chick.tarsus","largest.chick.capture","largest.chick.age","largest.chick.capdate","estimated.ld","layingdate","check.estld","first.res.bs","last.res.bs","first.d.seen","last.d.seen","mol_sex_focal","mol_sex_mate","captured_focalyear_focal","captured_focalyear_mate","northing","easting","estimated.hd","error.p","error.ch","bf.quality","comments_field","comments_stdfile","year.ring","pop.sp","ld.minus10","clutch_size1","clutch_size2","clutch_size3","clutch_size4","fate1","fate2","fate3","fate4","no_chicks1","no_chicks2","no_chicks3","no_chicks4","jd.idate","total.nests.peryear","ordinal.nest.peryear","earliest.seen","latest.seen","min.ldminus10","earliest.founddate","latest.enddate","min.layingdate","bs.start","bs.start.which","bs.end","bs.end.which","bs.length","sex.reliable"
"11","Ceuta",2006,"B","3","SP","U","U",425,NA,NA,"CA203","CA039",NA,NA,NA,NA,NA,NA,NA,"M","F","RX.MX|RX.RX","Ceuta-SP-2006-B-3",2006,2006,"2006-RX.MX|RX.RX",NA,NA,"07/05/2006","09/06/2006","07/05/2006","09/06/2006",425,503,513,"ABAN",23.96386667,-106.9137833,NA,"3","25/04/2006",2006-05-03,2006-05-13,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-04-25,NA,NA,NA,2006-05-07,2006-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA203","Ceuta-SP",2006-04-15,"3","3",NA,NA,"ABAN","HATCH",NA,NA,NA,"2+",NA,NA,115,2,1,2006-05-07,2006-07-02,2006-04-15,2006-05-03,2006-06-18,2006-04-25,2006-04-15,"min.ldminus10",2006-07-02,"latest.seen",78,NA
"12","Ceuta",2006,"B","4","SP","U","U",508,602,NA,"802122925","802122928","CA045","CA046","CA055",NA,NA,NA,NA,"M","F","YX.MX|BX.BX","Ceuta-SP-2006-B-4",2006,2006,"2006-YX.MX|BX.BX",NA,NA,"13/05/2006","13/05/2006","13/05/2006","13/05/2006",508,507,602,"HATCH",23.96266667,-106.91175,"3","3","08/05/2006",2006-05-07,2006-06-02,"02/06/2006",602,707,NA,0,18,NA,NA,602,"707",707,NA,"02/06/2006","07/07/2006",NA,NA,NA,"02/06/2006","07/07/2006","07/07/2006",NA,"02/06/2006",16.5,4.6,"02/06/2006",17,5.5,"02/06/2006",16.6,5.6,17,"02/06/2006",-1.964401294,"02/06/2006","09/05/2006",2006-05-08,1.964401294,NA,NA,2006-05-13,2006-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-802122925","Ceuta-SP",2006-04-28,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,128,1,1,2006-05-13,2006-07-07,2006-04-28,2006-05-07,2006-06-02,2006-05-08,2006-04-28,"min.ldminus10",2006-07-07,"latest.seen",70,NA
"13","Ceuta",2006,"B","5","SP","U","U",511,605,NA,"CA057","802109721","CA072","CA073","CA077",NA,NA,NA,NA,"M","F","WX.MX|WX.WX","Ceuta-SP-2006-B-5",2006,2006,"2006-WX.MX|WX.WX",NA,NA,"12/05/2006","03/06/2006","12/05/2006","03/06/2006",511,508,605,"HATCH",23.96256667,-106.9128667,"3","3","11/05/2006",2006-05-08,2006-06-05,"05/06/2006",605,701,NA,0,13,NA,NA,605,"701",701,NA,"05/06/2006","01/07/2006",NA,NA,NA,"05/06/2006","01/07/2006","01/07/2006",NA,"05/06/2006",17.5,6.4,"05/06/2006",18.2,6.8,"05/06/2006",18.3,6.3,18.3,"05/06/2006",2.242718447,"05/06/2006","08/05/2006",2006-05-11,-2.242718447,NA,NA,2006-05-12,2006-07-01,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA057","Ceuta-SP",2006-05-01,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,131,1,1,2006-05-12,2006-07-01,2006-05-01,2006-05-08,2006-06-05,2006-05-11,2006-05-01,"min.ldminus10",2006-07-01,"latest.seen",61,NA
"14","Ceuta",2006,"B","6","SP","U","U",511,605,NA,"RX.WX|YX.BX","RX.WX|YX.WX","CA070","CA071",NA,NA,NA,NA,NA,"M","F","RX.WX|YX.BX","Ceuta-SP-2006-B-6",2006,NA,"2006-RX.WX|YX.BX",NA,NA,"20/05/2006","20/05/2006","20/05/2006","20/05/2006",511,514,605,"HATCH",23.96343333,-106.9142,"2","3","11/05/2006",2006-05-14,2006-06-05,"05/06/2006",605,621,NA,0,12,NA,NA,605,"621",621,NA,"05/06/2006","21/06/2006",NA,NA,NA,"05/06/2006","21/06/2006","21/06/2006",NA,"05/06/2006",18.3,5.8,"05/06/2006",17.7,6.3,NA,NA,NA,18.3,"05/06/2006",2.242718447,"05/06/2006","08/05/2006",2006-05-11,-2.242718447,NA,NA,2006-05-20,2006-06-21,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-RX.WX|YX.BX","Ceuta-SP",2006-05-01,"3",NA,NA,NA,"HATCH",NA,NA,NA,"2",NA,NA,NA,131,1,1,2006-05-20,2006-06-21,2006-05-01,2006-05-14,2006-06-05,2006-05-11,2006-05-01,"min.ldminus10",2006-06-21,"latest.seen",51,NA
"15","Ceuta",2006,"B","7","SP","U","U",514,608,NA,"CA043","CA112","CA097",NA,NA,NA,NA,NA,NA,"M","F","RX.MX|OX.GX","Ceuta-SP-2006-B-7",2006,2006,"2006-RX.MX|OX.GX",NA,NA,"01/06/2006","01/06/2006","01/06/2006","01/06/2006",514,517,608,"HATCH",23.96228333,-106.9118833,"1","3","14/05/2006",2006-05-17,2006-06-08,"08/06/2006",NA,NA,NA,NA,0,NA,NA,608,"608",608,NA,NA,NA,NA,NA,NA,"08/06/2006","08/06/2006","08/06/2006",NA,"08/06/2006",18.4,5.8,NA,NA,NA,NA,NA,NA,18.4,"08/06/2006",2.566343042,"08/06/2006","11/05/2006",2006-05-14,-2.566343042,NA,NA,2006-06-01,2006-06-01,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA043","Ceuta-SP",2006-05-04,"3",NA,NA,NA,"HATCH",NA,NA,NA,"1",NA,NA,NA,134,1,1,2006-06-01,2006-06-01,2006-05-04,2006-05-17,2006-06-08,2006-05-14,2006-05-04,"min.ldminus10",2006-06-08,"latest.enddate",35,NA
"16","Ceuta",2006,"B","8","SP","U","U",517,611,NA,"CA042","CA113","CA212","CA213",NA,NA,NA,NA,NA,"M","F","RX.MX|OX.LX","Ceuta-SP-2006-B-8",2006,2006,"2006-RX.MX|OX.LX",NA,NA,"01/06/2006","01/06/2006","01/06/2006","01/06/2006",517,527,611,"HATCH",23.9645,-106.9132833,"2","3","17/05/2006",2006-05-27,2006-06-11,"11/06/2006",611,613,619,0,3,NA,NA,611,"619",611,613,"11/06/2006","13/06/2006","19/06/2006",NA,NA,"11/06/2006","19/06/2006","11/06/2006","13/06/2006","11/06/2006",18.3,6.1,"11/06/2006",18.6,6.6,NA,NA,NA,18.6,"11/06/2006",3.213592233,"11/06/2006","13/05/2006",2006-05-17,-3.213592233,NA,NA,2006-06-01,2006-06-13,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA042","Ceuta-SP",2006-05-07,"3",NA,NA,NA,"HATCH",NA,NA,NA,"2",NA,NA,NA,137,1,1,2006-06-01,2006-06-13,2006-05-07,2006-05-27,2006-06-11,2006-05-17,2006-05-07,"min.ldminus10",2006-06-13,"latest.seen",37,NA
"17","Ceuta",2006,"B","9","SP","U","U",521,NA,NA,"CA080",NA,NA,NA,NA,NA,NA,NA,NA,"M","F","WX.MX|OX.GX","Ceuta-SP-2006-B-9",2006,2006,"2006-WX.MX|OX.GX",NA,NA,"06/06/2006","06/06/2006","06/06/2006","06/06/2006",521,601,607,"ABAN",23.96358333,-106.9134667,NA,"3","21/05/2006",2006-06-01,2006-06-07,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-05-21,NA,NA,NA,2006-06-06,2006-06-06,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA080","Ceuta-SP",2006-05-11,"3",NA,NA,NA,"ABAN",NA,NA,NA,NA,NA,NA,NA,141,1,1,2006-06-06,2006-06-06,2006-05-11,2006-06-01,2006-06-07,2006-05-21,2006-05-11,"min.ldminus10",2006-06-07,"latest.enddate",27,NA
"18","Ceuta",2006,"B","101","SP","U","U",501,NA,NA,"802109714",NA,NA,NA,NA,NA,NA,NA,NA,"M","F","BX.WX|SX.LM","Ceuta-SP-2006-B-101",2006,2006,"2006-BX.WX|SX.LM",NA,NA,"07/05/2006","06/07/2006","07/05/2006","06/07/2006",501,504,509,"PRED",23.96528333,-106.9136167,NA,"3","01/05/2006",2006-05-04,2006-05-09,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006-05-01,NA,NA,NA,2006-05-07,2006-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-802109714","Ceuta-SP",2006-04-21,"3","3",NA,NA,"PRED","UNKNOWN",NA,NA,NA,NA,NA,NA,121,2,1,2006-05-07,2006-07-06,2006-04-21,2006-05-04,2006-05-09,2006-05-01,2006-04-21,"min.ldminus10",2006-07-06,"latest.seen",76,NA
"20","Ceuta",2006,"B","208","SP","U","U",513,607,NA,"CA091","CA126","CA089","CA090",NA,NA,NA,NA,NA,"M","F","WX.MX|YX.BX","Ceuta-SP-2006-B-208",2006,2006,"2006-WX.MX|YX.BX",NA,NA,"07/06/2006","07/06/2006","07/06/2006","07/06/2006",513,607,607,"HATCH",23.96318333,-106.91395,"3","3","13/05/2006",2006-06-07,2006-06-07,"07/06/2006",607,706,NA,0,7,NA,NA,607,"706",706,NA,"07/06/2006","06/07/2006",NA,NA,NA,"07/06/2006","06/07/2006","06/07/2006",NA,"07/06/2006",17.3,6.8,"07/06/2006",17.3,6.3,NA,NA,NA,17.3,"07/06/2006",-0.993527508,"07/06/2006","13/05/2006",2006-05-13,0.993527508,NA,NA,2006-06-07,2006-07-06,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA091","Ceuta-SP",2006-05-03,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,133,1,1,2006-06-07,2006-07-06,2006-05-03,2006-06-07,2006-06-07,2006-05-13,2006-05-03,"min.ldminus10",2006-07-06,"latest.seen",64,NA
"21","Ceuta",2006,"B","209","SP","U","U",513,607,NA,"CA123","CA125","CA124","CA130","CA131",NA,NA,NA,NA,"M","F","YX.MX|LX.RX","Ceuta-SP-2006-B-209",2006,2006,"2006-YX.MX|LX.RX",NA,NA,"07/06/2006","07/06/2006","07/06/2006","07/06/2006",513,607,607,"HATCH",23.96233333,-106.9126167,"3","3","13/05/2006",2006-06-07,2006-06-07,"07/06/2006",607,705,NA,0,13,NA,NA,607,"705",705,NA,"07/06/2006","05/07/2006",NA,NA,NA,"07/06/2006","05/07/2006","05/07/2006",NA,"07/06/2006",17.5,6.5,"08/06/2006",17.1,6.5,"08/06/2006",17,6,17.5,"07/06/2006",-0.346278317,"07/06/2006","13/05/2006",2006-05-13,0.346278317,NA,NA,2006-06-07,2006-07-05,"M","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-CA123","Ceuta-SP",2006-05-03,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,133,1,1,2006-06-07,2006-07-05,2006-05-03,2006-06-07,2006-06-07,2006-05-13,2006-05-03,"min.ldminus10",2006-07-05,"latest.seen",63,NA
