"","population","year","site","nest","species","exp","type","laid","hatch","manip","ring","mate_ring","chick1","chick2","chick3","chick4","chick5","chick6","comments","field_sex_focal","field_sex_mate","code","nest.id","year.cr","year.mr","year.code","first.res","last.res","first.cap","last.cap","first.cap.r","last.cap.r","laying_date","found_date","end_date","fate","latitude","longitude","no_chicks","clutch_size","laying_date.r","found_date.r","end_date.r","hatching_date.r","first.bf.adult","last.bf.adult","adult.not.seen.bf","times.adult.not.seen","total.brood.res","last.bf.adult.before.desertion","datenot.seen.after.desertion","first.bf","last.bf","chicks.alive.last","chicks.not.seen.bf","first.bf.adult.r","last.bf.adult.r","adult.not.seen.bf.r","last.bf.adult.before.desertion.r","datenot.seen.after.desertion.r","first.bf.r","last.bf.r","chicks.alive.last.r","chicks.not.seen.bf.r","chick1.capdate","chick1.tarsus","chick1.weight","chick2.capdate","chick2.tarsus","chick2.weight","chick3.capdate","chick3.tarsus","chick3.weight","largest.chick.tarsus","largest.chick.capture","largest.chick.age","largest.chick.capdate","estimated.ld","layingdate","check.estld","first.res.bs","last.res.bs","first.d.seen","last.d.seen","mol_sex_focal","mol_sex_mate","captured_focalyear_focal","captured_focalyear_mate","northing","easting","estimated.hd","error.p","error.ch","bf.quality","comments_field","comments_stdfile","year.ring","pop.sp","ld.minus10","clutch_size1","clutch_size2","clutch_size3","clutch_size4","fate1","fate2","fate3","fate4","no_chicks1","no_chicks2","no_chicks3","no_chicks4","jd.idate","total.nests.peryear","ordinal.nest.peryear","earliest.seen","latest.seen","min.ldminus10","earliest.founddate","latest.enddate","min.layingdate","bs.start","bs.start.which","bs.end","bs.end.which","bs.length","sex.reliable"
"649","Ceuta",2007,"A","104","SP","U","U",517,NA,NA,"CA1279","CA1272",NA,NA,NA,NA,NA,NA,NA,"F","M","LX.MX|RX.GX","Ceuta-SP-2007-A-104",2007,2007,"2007-LX.MX|RX.GX","11/07/2007","29/07/2007","28/05/2007","28/05/2007","28/05/2007","28/05/2007",517,515,603,"PREDATED",23.91044916,-106.96,"0","3","17/05/2007",2007-05-15,2007-06-03,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-05-17,NA,"11/07/2007","29/07/2007",2007-05-28,2007-07-29,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1279","Ceuta-SP",2007-05-07,"3",NA,NA,NA,"PREDATED",NA,NA,NA,"0",NA,NA,NA,137,1,1,2007-05-28,2007-07-29,2007-05-07,2007-05-15,2007-06-03,2007-05-17,2007-05-07,"min.ldminus10",2007-07-29,"latest.seen",83,NA
"651","Ceuta",2007,"A","107","SP","U","U",531,NA,NA,"CA1273","CA2040",NA,NA,NA,NA,NA,NA,NA,"F","M","LX.MX|YX.GX","Ceuta-SP-2007-A-107",2007,2007,"2007-LX.MX|YX.GX","27/06/2007","27/06/2007","23/05/2007","16/06/2007","23/05/2007","16/06/2007",520,518,601,"PREDATED",23.90600499,-106.95,"0","2","20/05/2007",2007-05-18,2007-06-01,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-05-20,NA,"27/06/2007","27/06/2007",2007-05-23,2007-06-27,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1273","Ceuta-SP",2007-05-10,"2","3",NA,NA,"PREDATED","HATCH",NA,NA,"0","2",NA,NA,140,2,1,2007-05-23,2007-07-07,2007-05-10,2007-05-18,2007-07-02,2007-05-20,2007-05-10,"min.ldminus10",2007-07-07,"latest.seen",58,NA
"652","Ceuta",2007,"A","108","SP","U","U",516,NA,NA,"CA060","CA166",NA,NA,NA,NA,NA,NA,NA,"F","M","WX.MX|GX.YX","Ceuta-SP-2007-A-108",2006,2006,"2007-WX.MX|GX.YX","22/05/2007","26/06/2007","23/05/2007","27/06/2007","23/05/2007","27/06/2007",510,518,601,"ABAN",23.90811568,-106.95,"0","2","10/05/2007",2007-05-18,2007-06-01,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-05-10,NA,"22/05/2007","26/06/2007",2007-05-22,2007-06-27,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA060","Ceuta-SP",2007-04-30,"2","3",NA,NA,"ABAN","HATCH",NA,NA,"0","2",NA,NA,130,2,1,2007-05-22,2007-07-09,2007-04-30,2007-05-18,2007-07-07,2007-05-10,2007-04-30,"min.ldminus10",2007-07-09,"latest.seen",70,NA
"653","Ceuta",2007,"A","109","SP","U","U",605,NA,NA,"CA101","CA098",NA,NA,NA,NA,NA,NA,NA,"F","M","YX.MX|OX.GX","Ceuta-SP-2007-A-109",2006,2006,"2007-YX.MX|OX.GX","21/05/2007","10/07/2007","02/06/2007","21/06/2007","02/06/2007","21/06/2007",518,519,606,"PREDATED",23.90998503,-106.96,"0","3","18/05/2007",2007-05-19,2007-06-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-05-18,NA,"21/05/2007","10/07/2007",2007-05-21,2007-07-10,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA101","Ceuta-SP",2007-05-08,"3","2",NA,NA,"PREDATED","UNKNOWN",NA,NA,"0",NA,NA,NA,138,2,1,2007-05-21,2007-07-10,2007-05-08,2007-05-19,2007-07-12,2007-05-18,2007-05-08,"min.ldminus10",2007-07-12,"latest.enddate",65,NA
"654","Ceuta",2007,"A","110","SP","ParCare","CFD3",530,NA,609,"CA015","CA2073","CA1433","CA1436","CA1437",NA,NA,NA,NA,"F","M","RX.MX|LX.GX","Ceuta-SP-2007-A-110",2006,2006,"2007-RX.MX|LX.GX","19/05/2007","29/07/2007","28/05/2007","28/05/2007","28/05/2007","28/05/2007",512,522,610,"UNHATCH",23.91329858,-106.96,"0","2","12/05/2007",2007-05-22,2007-06-10,NA,609,611,614,5,7,611,614,609,"618",618,NA,"09/06/2007","11/06/2007","14/06/2007","11/06/2007","14/06/2007","09/06/2007","18/06/2007","18/06/2007",NA,"09/06/2007",16.5,6,"11/06/2007",17.6,6.4,"11/06/2007",18.2,5.7,18.2,"11/06/2007",1.919093851,"11/06/2007","15/05/2007",2007-05-12,3.080906149,"19/05/2007","29/07/2007",2007-05-19,2007-07-29,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA015","Ceuta-SP",2007-05-02,"2",NA,NA,NA,"UNHATCH",NA,NA,NA,"0",NA,NA,NA,132,1,1,2007-05-19,2007-07-29,2007-05-02,2007-05-22,2007-06-10,2007-05-12,2007-05-02,"min.ldminus10",2007-07-29,"latest.seen",88,NA
"655","Ceuta",2007,"A","111","SP","U","U",521,NA,NA,"CA2082",NA,NA,NA,NA,NA,NA,NA,NA,"F","M","YX.MX|WX.GX","Ceuta-SP-2007-A-111",2006,2006,"2007-YX.MX|WX.GX",NA,NA,"05/06/2007","05/06/2007","05/06/2007","05/06/2007",522,523,613,"ABAN",23.90491496,-106.95,"0","3","22/05/2007",2007-05-23,2007-06-13,NA,612,612,614,1,2,NA,NA,612,"614",612,614,"12/06/2007","12/06/2007","14/06/2007",NA,NA,"12/06/2007","14/06/2007","12/06/2007","14/06/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-05-22,NA,NA,NA,2007-06-05,2007-06-12,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA2082","Ceuta-SP",2007-05-12,"3",NA,NA,NA,"ABAN",NA,NA,NA,"0",NA,NA,NA,142,1,1,2007-06-05,2007-06-12,2007-05-12,2007-05-23,2007-06-13,2007-05-22,2007-05-12,"min.ldminus10",2007-06-13,"latest.enddate",32,NA
"656","Ceuta",2007,"A","112","SP","ParCare","CF2",515,609,609,"CA1302","CA1300","CA1432","CA1435","CA1303",NA,NA,NA,NA,"F","M","LX.MX|WX.RX","Ceuta-SP-2007-A-112",2007,2007,"2007-LX.MX|WX.RX",NA,NA,"07/06/2007","07/06/2007","07/06/2007","07/06/2007",515,523,609,"HATCH",23.90538666,-106.95,"3","3","15/05/2007",2007-05-23,2007-06-09,"09/06/2007",609,609,614,3,4,609,614,609,"618",618,NA,"09/06/2007","09/06/2007","14/06/2007","09/06/2007","14/06/2007","09/06/2007","18/06/2007","18/06/2007",NA,"09/06/2007",18.8,6.6,"09/06/2007",17.1,6,"10/06/2007",16.4,5.7,18.8,"09/06/2007",3.860841424,"09/06/2007","11/05/2007",2007-05-15,-3.860841424,NA,NA,2007-06-07,2007-06-09,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1302","Ceuta-SP",2007-05-05,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,135,1,1,2007-06-07,2007-06-09,2007-05-05,2007-05-23,2007-06-09,2007-05-15,2007-05-05,"min.ldminus10",2007-06-09,"latest.seen",35,NA
"657","Ceuta",2007,"A","113","SP","ParCare","CF2",525,619,618,"CA1297","CA1310","CA1322","CA1324",NA,NA,NA,NA,NA,"F","M","LX.MX|YX.YX","Ceuta-SP-2007-A-113",2007,2007,"2007-LX.MX|YX.YX",NA,NA,"05/06/2007","05/06/2007","05/06/2007","05/06/2007",525,524,619,"HATCH",23.90966089,-106.96,"3","3","25/05/2007",2007-05-24,2007-06-19,"19/06/2007",619,623,626,1,5,NA,NA,619,"626",623,626,"19/06/2007","23/06/2007","26/06/2007",NA,NA,"19/06/2007","26/06/2007","23/06/2007","26/06/2007","19/06/2007",17.2,5.3,"19/06/2007",18.1,6.5,NA,NA,NA,18.1,"19/06/2007",1.595469256,"19/06/2007","23/05/2007",2007-05-25,-1.595469256,NA,NA,2007-06-05,2007-06-23,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1297","Ceuta-SP",2007-05-15,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,145,1,1,2007-06-05,2007-06-23,2007-05-15,2007-05-24,2007-06-19,2007-05-25,2007-05-15,"min.ldminus10",2007-06-23,"latest.seen",39,NA
"659","Ceuta",2007,"A","115","SP","ParCare","CFD2",522,616,613,"CA1280","CA1425","CA1449","CA1461","CA1316","CA1317",NA,NA,NA,"F","M","LX.MX|RX.LX","Ceuta-SP-2007-A-115",2007,2007,"2007-LX.MX|RX.LX",NA,NA,"28/05/2007","28/05/2007","28/05/2007","28/05/2007",522,524,616,"HATCH",23.90906439,-106.96,"2","3","22/05/2007",2007-05-24,2007-06-16,"16/06/2007",615,619,NA,0,3,NA,NA,615,"619",619,NA,"15/06/2007","19/06/2007",NA,NA,NA,"15/06/2007","19/06/2007","19/06/2007",NA,"16/06/2007",18.6,6.5,"19/06/2007",18.1,5.2,"15/06/2007",18.5,5.8,18.6,"16/06/2007",3.213592233,"16/06/2007","18/05/2007",2007-05-22,-3.213592233,NA,NA,2007-05-28,2007-06-19,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1280","Ceuta-SP",2007-05-12,"3",NA,NA,NA,"HATCH",NA,NA,NA,"2",NA,NA,NA,142,1,1,2007-05-28,2007-06-19,2007-05-12,2007-05-24,2007-06-16,2007-05-22,2007-05-12,"min.ldminus10",2007-06-19,"latest.seen",38,NA
"661","Ceuta",2007,"A","118","SP","ParCare","CFD4",530,624,617,"CA1298","CA1320","CA1325","CA1451","CA1453","CA1458","CA1466","CA1471",NA,"F","M","LX.MX|WX.GX","Ceuta-SP-2007-A-118",2007,2007,"2007-LX.MX|WX.GX",NA,NA,"05/06/2007","05/06/2007","05/06/2007","05/06/2007",530,525,624,"HATCH",23.90637037,-106.95,"2","3","30/05/2007",2007-05-25,2007-06-24,"24/06/2007",617,705,NA,3,14,701,702,617,"705",704,705,"17/06/2007","05/07/2007",NA,"01/07/2007","02/07/2007","17/06/2007","05/07/2007","04/07/2007","05/07/2007","19/06/2007",16.5,5.8,"17/06/2007",15.9,7,"17/06/2007",17,6.4,17,"17/06/2007",-1.964401294,"17/06/2007","24/05/2007",2007-05-30,-5.035598706,NA,NA,2007-06-05,2007-07-05,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1298","Ceuta-SP",2007-05-20,"3",NA,NA,NA,"HATCH",NA,NA,NA,"2",NA,NA,NA,150,1,1,2007-06-05,2007-07-05,2007-05-20,2007-05-25,2007-06-24,2007-05-30,2007-05-20,"min.ldminus10",2007-07-05,"latest.seen",46,NA
"662","Ceuta",2007,"A","119","SP","ParCare","CF2",523,617,617,"CA1299","CA1309","CA1455","CA1456","CA1454",NA,NA,NA,NA,"F","M","LX.MX|RX.RX","Ceuta-SP-2007-A-119",2007,2007,"2007-LX.MX|RX.RX",NA,NA,"05/06/2007","05/06/2007","05/06/2007","05/06/2007",523,525,617,"HATCH",23.90599447,-106.95,"3","3","23/05/2007",2007-05-25,2007-06-17,"17/06/2007",617,617,619,9,11,617,619,617,"712",712,NA,"17/06/2007","17/06/2007","19/06/2007","17/06/2007","19/06/2007","17/06/2007","12/07/2007","12/07/2007",NA,"17/06/2007",17.7,7,"17/06/2007",17.3,5.8,"17/06/2007",17.5,6.6,17.7,"17/06/2007",0.300970874,"17/06/2007","22/05/2007",2007-05-23,-0.300970874,NA,NA,2007-06-05,2007-06-17,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1299","Ceuta-SP",2007-05-13,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,143,1,1,2007-06-05,2007-06-17,2007-05-13,2007-05-25,2007-06-17,2007-05-23,2007-05-13,"min.ldminus10",2007-06-17,"latest.seen",35,NA
"664","Ceuta",2007,"A","121","SP","ParCare","CF2",527,621,620,"CA171","CA1336","CA1338",NA,NA,NA,NA,NA,NA,"F","M","OX.MX|LX.RX","Ceuta-SP-2007-A-121",2006,2006,"2007-OX.MX|LX.RX","23/06/2007","23/06/2007","18/06/2007","18/06/2007","18/06/2007","18/06/2007",527,604,621,"HATCH",23.90760743,-106.96,"3","3","27/05/2007",2007-06-04,2007-06-21,"21/06/2007",NA,NA,NA,NA,13,NA,NA,621,"712",712,NA,NA,NA,NA,NA,NA,"21/06/2007","12/07/2007","12/07/2007",NA,"21/06/2007",17.4,5.9,NA,NA,NA,NA,NA,NA,17.4,"21/06/2007",-0.669902913,"21/06/2007","27/05/2007",2007-05-27,0.669902913,"23/06/2007","23/06/2007",2007-06-18,2007-06-23,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA171","Ceuta-SP",2007-05-17,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,147,1,1,2007-06-18,2007-06-23,2007-05-17,2007-06-04,2007-06-21,2007-05-27,2007-05-17,"min.ldminus10",2007-06-23,"latest.seen",37,NA
"665","Ceuta",2007,"A","122","SP","ParCare","CF2",531,625,624,"CA1331","CA172","CA1344","CA1347",NA,NA,NA,NA,NA,"F","M","OX.MX|YX.RX","Ceuta-SP-2007-A-122",2007,2007,"2007-OX.MX|YX.RX","30/06/2007","05/07/2007","20/06/2007","20/06/2007","20/06/2007","20/06/2007",531,610,625,"HATCH",23.90825661,-106.96,"2","3","31/05/2007",2007-06-10,2007-06-25,"25/06/2007",625,703,NA,1,8,NA,NA,625,"703",703,NA,"25/06/2007","03/07/2007",NA,NA,NA,"25/06/2007","03/07/2007","03/07/2007",NA,"25/06/2007",17.5,5.2,"26/06/2007",18.3,5,NA,NA,NA,18.3,"26/06/2007",2.242718447,"26/06/2007","29/05/2007",2007-05-31,-1.242718447,"30/06/2007","05/07/2007",2007-06-20,2007-07-05,"F","no mol_sex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1331","Ceuta-SP",2007-05-21,"3",NA,NA,NA,"HATCH",NA,NA,NA,"2",NA,NA,NA,151,1,1,2007-06-20,2007-07-05,2007-05-21,2007-06-10,2007-06-25,2007-05-31,2007-05-21,"min.ldminus10",2007-07-05,"latest.seen",45,NA
"666","Ceuta",2007,"A","123","SP","U","U",516,610,NA,"CA044",NA,"CA1304","CA1305","CA1308",NA,NA,NA,NA,"F","M","RX.MX|OX.WX","Ceuta-SP-2007-A-123",2006,2006,"2007-RX.MX|OX.WX","02/07/2007","02/07/2007","10/06/2007","10/06/2007","10/06/2007","10/06/2007",516,610,610,"HATCH",23.90519593,-106.95,"3","3","16/05/2007",2007-06-10,2007-06-10,"10/06/2007",NA,NA,NA,NA,0,NA,NA,610,"611",611,NA,NA,NA,NA,NA,NA,"10/06/2007","11/06/2007","11/06/2007",NA,"10/06/2007",17.9,5.8,"10/06/2007",17.6,5.4,"11/06/2007",17.2,5.5,17.9,"10/06/2007",0.948220065,"10/06/2007","15/05/2007",2007-05-16,-0.948220065,"02/07/2007","02/07/2007",2007-06-10,2007-07-02,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA044","Ceuta-SP",2007-05-06,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,136,1,1,2007-06-10,2007-07-02,2007-05-06,2007-06-10,2007-06-10,2007-05-16,2007-05-06,"min.ldminus10",2007-07-02,"latest.seen",57,NA
"668","Ceuta",2007,"A","125","SP","ParCare","CF2",603,628,626,"CA204","CA235","CA1375","CA1372",NA,NA,NA,NA,NA,"F","M","WX.MX|YX.YX","Ceuta-SP-2007-A-125",2006,2006,"2007-WX.MX|YX.YX","21/05/2007","10/07/2007","16/06/2007","16/06/2007","16/06/2007","16/06/2007",603,611,628,"HATCH",23.90534468,-106.95,"2","3","03/06/2007",2007-06-11,2007-06-28,"28/06/2007",701,705,NA,1,5,NA,NA,628,"705",705,NA,"01/07/2007","05/07/2007",NA,NA,NA,"28/06/2007","05/07/2007","05/07/2007",NA,"28/06/2007",16.9,6.5,"28/06/2007",17.1,6.3,NA,NA,NA,17.1,"28/06/2007",-1.640776699,"28/06/2007","04/06/2007",2007-06-03,1.640776699,"21/05/2007","10/07/2007",2007-05-21,2007-07-10,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA204","Ceuta-SP",2007-05-24,"3",NA,NA,NA,"HATCH",NA,NA,NA,"2",NA,NA,NA,154,1,1,2007-05-21,2007-07-10,2007-05-24,2007-06-11,2007-06-28,2007-06-03,2007-05-21,"earliest.seen",2007-07-10,"latest.seen",50,NA
"671","Ceuta",2007,"A","128","SP","ParCare","CF2",601,626,625,"CA125","CA1314","CA1348","CA1481",NA,NA,NA,NA,NA,"F","M","YX.MX|LX.OX","Ceuta-SP-2007-A-128",2006,2006,"2007-YX.MX|LX.OX","21/05/2007","05/07/2007","20/06/2007","20/06/2007","20/06/2007","20/06/2007",601,612,626,"HATCH",23.90692201,-106.95,"3","3","01/06/2007",2007-06-12,2007-06-26,"26/06/2007",625,628,629,3,6,628,629,625,"708",708,NA,"25/06/2007","28/06/2007","29/06/2007","28/06/2007","29/06/2007","25/06/2007","08/07/2007","08/07/2007",NA,"26/06/2007",17.1,5.3,"25/06/2007",17.6,7,NA,NA,NA,17.6,"25/06/2007",-0.022653722,"25/06/2007","31/05/2007",2007-06-01,-0.977346278,"21/05/2007","05/07/2007",2007-05-21,2007-07-05,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA125","Ceuta-SP",2007-05-22,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,152,1,1,2007-05-21,2007-07-05,2007-05-22,2007-06-12,2007-06-26,2007-06-01,2007-05-21,"earliest.seen",2007-07-05,"latest.seen",45,NA
"672","Ceuta",2007,"A","129","SP","U","U",610,NA,NA,"CA1330","CA1321",NA,NA,NA,NA,NA,NA,NA,"F","M","OX.MX|YX.WX","Ceuta-SP-2007-A-129",2007,2007,"2007-OX.MX|YX.WX","23/06/2007","12/07/2007","20/06/2007","20/06/2007","20/06/2007","20/06/2007",610,612,625,"PREDATED",23.9076164,-106.96,"0","2","10/06/2007",2007-06-12,2007-06-25,NA,NA,NA,NA,NA,0,NA,NA,Inf,"#NAME?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-06-10,NA,"23/06/2007","12/07/2007",2007-06-20,2007-07-12,"F","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1330","Ceuta-SP",2007-05-31,"2",NA,NA,NA,"PREDATED",NA,NA,NA,"0",NA,NA,NA,161,1,1,2007-06-20,2007-07-12,2007-05-31,2007-06-12,2007-06-25,2007-06-10,2007-05-31,"min.ldminus10",2007-07-12,"latest.seen",42,NA
"674","Ceuta",2007,"A","131","SP","ParCare","CF2",603,628,626,"CA1332","RX.LX|BX.WX","CA1376","CA1377",NA,NA,NA,NA,NA,"F","M","OX.MX|YX.GX","Ceuta-SP-2007-A-131",2007,2007,"2007-OX.MX|YX.GX","23/06/2007","06/07/2007","20/06/2007","20/06/2007","20/06/2007","20/06/2007",603,613,628,"HATCH",23.90579845,-106.96,"3","3","03/06/2007",2007-06-13,2007-06-28,"28/06/2007",629,708,708,1,9,NA,NA,629,"708",708,NA,"29/06/2007","08/07/2007","08/07/2007",NA,NA,"29/06/2007","08/07/2007","08/07/2007",NA,"29/06/2007",17.2,6.5,"29/06/2007",16.9,6.2,NA,NA,NA,17.2,"29/06/2007",-1.317152104,"29/06/2007","05/06/2007",2007-06-03,2.317152104,"23/06/2007","06/07/2007",2007-06-20,2007-07-08,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1332","Ceuta-SP",2007-05-24,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,154,1,1,2007-06-20,2007-07-08,2007-05-24,2007-06-13,2007-06-28,2007-06-03,2007-05-24,"min.ldminus10",2007-07-08,"latest.seen",45,NA
"675","Ceuta",2007,"A","132","SP","U","U",602,627,NA,"CA1333","CA1319","CA1492","CA1493","CA1494","CA1524",NA,NA,NA,"F","M","OX.MX|WX.YX","Ceuta-SP-2007-A-132",2007,2007,"2007-OX.MX|WX.YX","26/06/2007","26/06/2007","20/06/2007","20/06/2007","20/06/2007","20/06/2007",602,613,627,"HATCH",23.90502836,-106.95,"3","3","02/06/2007",2007-06-13,2007-06-27,"27/06/2007",627,711,NA,0,7,NA,NA,627,"711",711,NA,"27/06/2007","11/07/2007",NA,NA,NA,"27/06/2007","11/07/2007","11/07/2007",NA,"27/06/2007",17.7,5.5,"27/06/2007",17.6,5.8,"27/06/2007",17,6.3,17.7,"27/06/2007",0.300970874,"27/06/2007","01/06/2007",2007-06-02,-0.300970874,"26/06/2007","26/06/2007",2007-06-20,2007-07-11,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1333","Ceuta-SP",2007-05-23,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,153,1,1,2007-06-20,2007-07-11,2007-05-23,2007-06-13,2007-06-27,2007-06-02,2007-05-23,"min.ldminus10",2007-07-11,"latest.seen",49,NA
"676","Ceuta",2007,"A","133","SP","ParCare","CF2",523,617,617,"CA1318","CA1312","CA1452",NA,NA,NA,NA,NA,NA,"F","M","LX.MX|WX.LX","Ceuta-SP-2007-A-133",2007,2007,"2007-LX.MX|WX.LX","11/07/2007","11/07/2007","16/06/2007","16/06/2007","16/06/2007","16/06/2007",523,613,617,"HATCH",23.9031877,-106.95,"3","3","23/05/2007",2007-06-13,2007-06-17,"17/06/2007",617,705,705,4,6,705,705,617,"712",712,NA,"17/06/2007","05/07/2007","05/07/2007","05/07/2007","05/07/2007","17/06/2007","12/07/2007","12/07/2007",NA,"17/06/2007",17.6,7.1,NA,NA,NA,NA,NA,NA,17.6,"17/06/2007",-0.022653722,"17/06/2007","23/05/2007",2007-05-23,0.022653722,"11/07/2007","11/07/2007",2007-06-16,2007-07-11,"f","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1318","Ceuta-SP",2007-05-13,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,143,1,1,2007-06-16,2007-07-11,2007-05-13,2007-06-13,2007-06-17,2007-05-23,2007-05-13,"min.ldminus10",2007-07-11,"latest.seen",59,NA
"677","Ceuta",2007,"A","134","SP","U","U",607,702,NA,"CA1371","CA1349","CA1389","CA1388","CA1387",NA,NA,NA,NA,"F","M","LX.MX|YX.BX","Ceuta-SP-2007-A-134",2007,2007,"2007-LX.MX|YX.BX","28/06/2007","29/06/2007","28/06/2007","28/06/2007","28/06/2007","28/06/2007",607,624,702,"HATCH",23.90978477,-106.96,"3","3","07/06/2007",2007-06-24,2007-07-02,"02/07/2007",NA,NA,NA,NA,0,NA,NA,702,"702",702,NA,NA,NA,NA,NA,NA,"02/07/2007","02/07/2007","02/07/2007",NA,"02/07/2007",17.4,6.4,"02/07/2007",17.5,6.4,"02/07/2007",17.4,6.8,17.5,"02/07/2007",-0.346278317,"02/07/2007","07/06/2007",2007-06-07,0.346278317,"28/06/2007","29/06/2007",2007-06-28,2007-06-29,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1371","Ceuta-SP",2007-05-28,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,158,1,1,2007-06-28,2007-06-29,2007-05-28,2007-06-24,2007-07-02,2007-06-07,2007-05-28,"min.ldminus10",2007-07-02,"latest.enddate",35,NA
"678","Ceuta",2007,"A","202","SP","U","U",506,601,NA,"CA1268","802109716","CA1418","CA1420","CA1421",NA,NA,NA,NA,"F","M","LX.MX|OX.WX","Ceuta-SP-2007-A-202",2007,2007,"2007-LX.MX|OX.WX","21/05/2007","27/05/2007","17/05/2007","17/05/2007","17/05/2007","17/05/2007",506,510,601,"HATCH",23.9109271,-106.96,"3","3","06/05/2007",2007-05-10,2007-06-01,"01/06/2007",602,602,602,11,12,602,602,602,"702",702,NA,"02/06/2007","02/06/2007","02/06/2007","02/06/2007","02/06/2007","02/06/2007","02/07/2007","02/07/2007",NA,"02/06/2007",18,5.7,"02/06/2007",17.9,5.5,"02/06/2007",17.9,5.9,18,"02/06/2007",1.27184466,"02/06/2007","06/05/2007",2007-05-06,0.72815534,"21/05/2007","27/05/2007",2007-05-17,2007-06-02,"F","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-CA1268","Ceuta-SP",2007-04-26,"3",NA,NA,NA,"HATCH",NA,NA,NA,"3",NA,NA,NA,126,1,1,2007-05-17,2007-06-02,2007-04-26,2007-05-10,2007-06-01,2007-05-06,2007-04-26,"min.ldminus10",2007-06-02,"latest.seen",37,NA
