year,site,nest,species,ring,code,mate_ring,mate_code,chick1,chick2,chick3,mol_sex_focal,mol_sex_mate,captured_focalyear_focal,captured_focalyear_mate,comments_stdfile,error.p,error.ch,field_sex_focal,field_sex_mate,nest.id,year.cr,year.mr,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,northing,easting,no_chicks,clutch_size,hatch_date,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,bf.quality,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen
2013,Andavadoaka,216,KiP,FH47041,O.R|M.R,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2013-KiP-Andavadoaka-216,2013,2013,NA,NA,09-04-13,09-04-13,09-04-13,09-04-13,402,403,NA,NA,7553282,319651,NA,2,NA,02-04-13,03-04-13,NA,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02-04-13,NA,09-04-13,09-04-13
2013,Andavadoaka,-19,KiP,FH72292,B.R|B.M,NA,NA,FH72293,FH72294,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2013-KiP-Andavadoaka--19,2013,2013,NA,NA,16-05-13,16-05-13,16-05-13,16-05-13,NA,NA,NA,NA,NA,NA,NA,NA,10-05-13,NA,NA,NA,NA,516,616,516,0,4,NA,NA,poor quality,516,616,616,NA,16-05-13,16-06-13,16-05-13,NA,NA,16-05-13,16-06-13,16-06-13,NA,16-05-13,8.2,NA,5.8,16-05-13,7.2,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-05-13,16-06-13
2013,Andavadoaka,10,WfP,FH68705,G.W|M.G,NA,NA,NA,NA,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2013-WfP-Andavadoaka-10,2013,2013,20-04-13,20-04-13,31-03-13,31-03-13,31-03-13,31-03-13,319,321,414,UNKNOWN,7554472,321060,NA,3,NA,19-03-13,21-03-13,14-04-13,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-03-13,NA,31-03-13,20-04-13
2015,Andavadoaka,232,KiP,FH73096,G.M|L.W,FH73092,G.M|G.R,FH7341,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2015-KiP-Andavadoaka-232,2015,2015,18-04-15,18-04-15,03-04-15,03-04-15,03-04-15,03-04-15,329,331,421,HATCH,7553485,320189,1,2,NA,29-03-15,31-03-15,21-04-15,NA,NA,NA,NA,NA,1,NA,NA,NA,423,423,423,NA,NA,NA,NA,NA,NA,23-04-15,23-04-15,23-04-15,NA,23-04-15,7.5,18.9,5.09,NA,NA,NA,NA,NA,NA,NA,NA,18.9,23-04-15,-0.713,23-04-15,29-03-15,23-04-15,29-03-15,0,03-04-15,18-04-15
2009,Andavadoaka,11,MP,FH47901,G.L|M.W,NA,NA,FH47940,FH47943,NA,NA,NA,yes,NA,NA,NA,NA,F,NA,2009-MP-Andavadoaka-11,2009,2009,NA,NA,14-04-09,14-04-09,14-04-09,14-04-09,220,228,301,DESER,7553840,320040,NA,2,NA,20-02-09,28-02-09,01-03-09,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03-05-09,6.5,22.2,5,04-05-09,7.2,22.5,5,NA,NA,NA,NA,22.5,04-05-09,8.359,04-05-09,31-03-09,25-04-09,20-02-09,39.641,14-04-09,14-04-09
2014,Andavadoaka,-2,KiP,FH73407,L.W|O.M,FH72478,G.B|M.R,FH72479,FH72480,FH73406,NA,M,yes,yes,NA,NA,NA,F,NA,2014-KiP-Andavadoaka--2,2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10-03-14,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,313,1110,1110,NA,NA,NA,NA,NA,NA,13-03-14,10-11-14,10-11-14,NA,13-03-14,7.9,21.7,5.8,13-03-14,7.4,21,5.4,10-11-14,8.9,22.6,5.6,22.6,10-11-14,8.611,10-11-14,07-10-14,01-11-14,07-10-14,NA,NA,NA
2014,Andavadoaka,-313,KiP,FH72782,L.L|Y.M,NA,NA,FH72780,FH72781,NA,M,NA,yes,NA,NA,NA,NA,M,NA,2014-KiP-Andavadoaka--313,2014,2014,02-05-14,02-05-14,14-04-14,14-04-14,14-04-14,14-04-14,NA,NA,NA,NA,NA,NA,NA,NA,08-04-14,NA,NA,NA,NA,414,502,414,0,3,NA,NA,NA,414,502,502,NA,14-04-14,02-05-14,14-04-14,NA,NA,14-04-14,02-05-14,02-05-14,NA,14-04-14,8.6,23.1,5.9,14-04-14,8.3,22.6,5.4,NA,NA,NA,NA,23.1,14-04-14,9.871,14-04-14,10-03-14,04-04-14,10-03-14,NA,14-04-14,02-05-14
2015,Andavadoaka,656,KiP,FH73573,R.M|O.B,FH73192,R.M|G.B,FH73193,FH73572,NA,M,M,yes,yes,two males as parents,NA,NA,M,NA,2015-KiP-Andavadoaka-656,2015,2015,NA,NA,20-05-15,20-05-15,20-05-15,20-05-15,419,427,527,HATCH,7554644,321029,2,2,19-05-15,19-04-15,27-04-15,27-05-15,19-05-15,519,527,NA,0,3,NA,NA,NA,519,527,527,NA,19-05-15,27-05-15,NA,NA,NA,19-05-15,27-05-15,27-05-15,NA,19-05-15,6.8,20,6.1,20-05-15,6.1,19.4,5.8,NA,NA,NA,NA,20,19-05-15,2.059,19-05-15,21-04-15,16-05-15,19-04-15,2.941,19-05-15,27-05-15
2013,Andavadoaka,147,KiP,FH68908,W.O|M.L,NA,NA,NA,NA,NA,F,NA,yes,NA,NA,NA,NA,F,NA,2013-KiP-Andavadoaka-147,2013,2013,NA,NA,15-04-13,15-04-13,15-04-13,15-04-13,405,410,426,PRED,7555863,321323,0,2,NA,05-04-13,10-04-13,26-04-13,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05-04-13,NA,15-04-13,15-04-13
2013,Andavadoaka,50,KiP,FH47156,O.G|M.B,FH47671,O.L|M.R,NA,NA,NA,F,M,yes,yes,NA,NA,NA,F,NA,2013-KiP-Andavadoaka-50,2013,2013,NA,NA,03-04-13,03-04-13,03-04-13,03-04-13,316,321,323,PRED,7553271,319694,NA,2,NA,16-03-13,21-03-13,23-03-13,NA,NA,NA,NA,NA,0,NA,NA,no data,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16-03-13,NA,03-04-13,03-04-13
