year,site,nest,species,exp,type,laid,hatch,manip,ring,mate_ring,chick1,chick2,chick3,chick4,chick5,chick6,comments,field_sex_focal,field_sex_mate,code,nest.id,year.cr,year.mr,year.code,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,latitude,longitude,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,layingdate,check.estld,first.res.bs,last.res.bs,first.d.seen,last.d.seen,mol_sex_focal,mol_sex_mate
2006,B,3,SP,U,U,425,NA,NA,CA203,CA039,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|RX.RX,2006-B-3,2006,2006,2006-RX.MX|RX.RX,NA,NA,07-05-06,09-06-06,07-05-06,09-06-06,425,503,513,ABAN,23.96386667,-106.9137833,NA,3,25-04-06,03-05-06,13-05-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25-04-06,NA,NA,NA,07-05-06,09-06-06,NA,NA
2006,B,4,SP,U,U,508,602,NA,802122925,802122928,CA045,CA046,CA055,NA,NA,NA,NA,M,F,YX.MX|BX.BX,2006-B-4,2006,2006,2006-YX.MX|BX.BX,NA,NA,13-05-06,13-05-06,13-05-06,13-05-06,508,507,602,HATCH,23.96266667,-106.91175,3,3,08-05-06,07-05-06,02-06-06,02-06-06,602,707,NA,0,18,NA,NA,602,707,707,NA,02-06-06,07-07-06,NA,NA,NA,02-06-06,07-07-06,07-07-06,NA,02-06-06,NA,16.5,4.6,02-06-06,NA,17,5.5,02-06-06,NA,16.6,5.6,17,02-06-06,-1.964401294,02-06-06,09-05-06,08-05-06,1.964401294,NA,NA,13-05-06,07-07-06,NA,NA
2006,B,5,SP,U,U,511,605,NA,CA057,802109721,CA072,CA073,CA077,NA,NA,NA,NA,M,F,WX.MX|WX.WX,2006-B-5,2006,2006,2006-WX.MX|WX.WX,NA,NA,12-05-06,03-06-06,12-05-06,03-06-06,511,508,605,HATCH,23.96256667,-106.9128667,3,3,11-05-06,08-05-06,05-06-06,05-06-06,605,701,NA,0,13,NA,NA,605,701,701,NA,05-06-06,01-07-06,NA,NA,NA,05-06-06,01-07-06,01-07-06,NA,05-06-06,NA,17.5,6.4,05-06-06,NA,18.2,6.8,05-06-06,NA,18.3,6.3,18.3,05-06-06,2.242718447,05-06-06,08-05-06,11-05-06,-2.242718447,NA,NA,12-05-06,01-07-06,M,NA
2006,B,6,SP,U,U,511,605,NA,RX.WX|YX.BX,RX.WX|YX.WX,CA070,CA071,NA,NA,NA,NA,NA,M,F,RX.WX|YX.BX,2006-B-6,2006,NA,2006-RX.WX|YX.BX,NA,NA,20-05-06,20-05-06,20-05-06,20-05-06,511,514,605,HATCH,23.96343333,-106.9142,2,3,11-05-06,14-05-06,05-06-06,05-06-06,605,621,NA,0,12,NA,NA,605,621,621,NA,05-06-06,21-06-06,NA,NA,NA,05-06-06,21-06-06,21-06-06,NA,05-06-06,NA,18.3,5.8,05-06-06,NA,17.7,6.3,NA,NA,NA,NA,18.3,05-06-06,2.242718447,05-06-06,08-05-06,11-05-06,-2.242718447,NA,NA,20-05-06,21-06-06,M,F
2006,B,7,SP,U,U,514,608,NA,CA043,CA112,CA097,NA,NA,NA,NA,NA,NA,M,F,RX.MX|OX.GX,2006-B-7,2006,2006,2006-RX.MX|OX.GX,NA,NA,01-06-06,01-06-06,01-06-06,01-06-06,514,517,608,HATCH,23.96228333,-106.9118833,1,3,14-05-06,17-05-06,08-06-06,08-06-06,NA,NA,NA,NA,0,NA,NA,608,608,608,NA,NA,NA,NA,NA,NA,08-06-06,08-06-06,08-06-06,NA,08-06-06,NA,18.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,18.4,08-06-06,2.566343042,08-06-06,11-05-06,14-05-06,-2.566343042,NA,NA,01-06-06,01-06-06,M,F
2006,B,8,SP,U,U,517,611,NA,CA042,CA113,CA212,CA213,NA,NA,NA,NA,NA,M,F,RX.MX|OX.LX,2006-B-8,2006,2006,2006-RX.MX|OX.LX,NA,NA,01-06-06,01-06-06,01-06-06,01-06-06,517,527,611,HATCH,23.9645,-106.9132833,2,3,17-05-06,27-05-06,11-06-06,11-06-06,611,613,619,0,3,NA,NA,611,619,611,613,11-06-06,13-06-06,19-06-06,NA,NA,11-06-06,19-06-06,11-06-06,13-06-06,11-06-06,NA,18.3,6.1,11-06-06,NA,18.6,6.6,NA,NA,NA,NA,18.6,11-06-06,3.213592233,11-06-06,13-05-06,17-05-06,-3.213592233,NA,NA,01-06-06,13-06-06,M,F
2006,B,9,SP,U,U,521,NA,NA,CA080,NA,NA,NA,NA,NA,NA,NA,NA,M,F,WX.MX|OX.GX,2006-B-9,2006,2006,2006-WX.MX|OX.GX,NA,NA,06-06-06,06-06-06,06-06-06,06-06-06,521,601,607,ABAN,23.96358333,-106.9134667,NA,3,21-05-06,01-06-06,07-06-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21-05-06,NA,NA,NA,06-06-06,06-06-06,M,NA
2006,B,101,SP,U,U,501,NA,NA,802109714,NA,NA,NA,NA,NA,NA,NA,NA,M,F,BX.WX|SX.LM,2006-B-101,2006,2006,2006-BX.WX|SX.LM,NA,NA,07-05-06,06-07-06,07-05-06,06-07-06,501,504,509,PRED,23.96528333,-106.9136167,NA,3,01-05-06,04-05-06,09-05-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-05-06,NA,NA,NA,07-05-06,06-07-06,NA,NA
2006,B,207,SP,U,U,524,618,NA,CA203,CA204,CA184,CA187,NA,NA,NA,NA,NA,M,F,RX.MX|RX.RX,2006-B-207,2006,2006,2006-RX.MX|RX.RX,NA,NA,07-05-06,09-06-06,07-05-06,09-06-06,524,606,618,HATCH,23.9632,-106.9143833,2+,3,24-05-06,06-06-06,18-06-06,18-06-06,619,702,NA,0,3,NA,NA,619,702,619,619,19-06-06,02-07-06,NA,NA,NA,19-06-06,02-07-06,19-06-06,19-06-06,18-06-06,NA,17.9,6.7,18-06-06,NA,17.8,6.7,NA,NA,NA,NA,17.9,18-06-06,0.948220065,18-06-06,23-05-06,24-05-06,-0.948220065,NA,NA,07-05-06,02-07-06,NA,F
2006,B,208,SP,U,U,513,607,NA,CA091,CA126,CA089,CA090,NA,NA,NA,NA,NA,M,F,WX.MX|YX.BX,2006-B-208,2006,2006,2006-WX.MX|YX.BX,NA,NA,07-06-06,07-06-06,07-06-06,07-06-06,513,607,607,HATCH,23.96318333,-106.91395,3,3,13-05-06,07-06-06,07-06-06,07-06-06,607,706,NA,0,7,NA,NA,607,706,706,NA,07-06-06,06-07-06,NA,NA,NA,07-06-06,06-07-06,06-07-06,NA,07-06-06,NA,17.3,6.8,07-06-06,NA,17.3,6.3,NA,NA,NA,NA,17.3,07-06-06,-0.993527508,07-06-06,13-05-06,13-05-06,0.993527508,NA,NA,07-06-06,06-07-06,M,F
2006,B,209,SP,U,U,513,607,NA,CA123,CA125,CA124,CA130,CA131,NA,NA,NA,NA,M,F,YX.MX|LX.RX,2006-B-209,2006,2006,2006-YX.MX|LX.RX,NA,NA,07-06-06,07-06-06,07-06-06,07-06-06,513,607,607,HATCH,23.96233333,-106.9126167,3,3,13-05-06,07-06-06,07-06-06,07-06-06,607,705,NA,0,13,NA,NA,607,705,705,NA,07-06-06,05-07-06,NA,NA,NA,07-06-06,05-07-06,05-07-06,NA,07-06-06,NA,17.5,6.5,08-06-06,NA,17.1,6.5,08-06-06,NA,17,6,17.5,07-06-06,-0.346278317,07-06-06,13-05-06,13-05-06,0.346278317,NA,NA,07-06-06,05-07-06,M,F
2006,C,-1,SP,U,U,NA,NA,NA,CA142,NA,802122927,NA,NA,NA,NA,NA,NA,M,F,RX.MX|RX.LX,2006-C--1,2006,2006,2006-RX.MX|RX.LX,NA,NA,15-05-06,13-06-06,15-05-06,13-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,523,NA,0,2,NA,NA,515,523,515,523,15-05-06,23-05-06,NA,NA,NA,15-05-06,23-05-06,15-05-06,23-05-06,15-05-06,NA,17.6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,17.6,15-05-06,-0.022653722,15-05-06,20-04-06,20-04-06,NA,NA,NA,15-05-06,13-06-06,NA,NA
2006,C,1,SP,U,U,424,519,NA,CA220,CA177,802122931,802122934,802122935,NA,NA,NA,NA,M,F,RX.MX|RX.BX,2006-C-1,2006,2006,2006-RX.MX|RX.BX,NA,NA,06-05-06,12-06-06,06-05-06,12-06-06,424,503,519,HATCH,23.95996667,-106.9172167,3,3,24-04-06,03-05-06,19-05-06,19-05-06,520,523,NA,1,4,NA,NA,520,523,520,521,20-05-06,23-05-06,NA,NA,NA,20-05-06,23-05-06,20-05-06,21-05-06,19-05-06,NA,18.1,5.9,20-05-06,NA,17.9,6.3,20-05-06,NA,16.7,5.2,18.1,19-05-06,1.595469256,19-05-06,22-04-06,24-04-06,-1.595469256,NA,NA,06-05-06,12-06-06,M,F
2006,C,3,SP,U,U,NA,NA,NA,CA156,CA202,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|WX.BX,2006-C-3,2006,2006,2006-RX.MX|WX.BX,NA,NA,09-05-06,14-06-06,09-05-06,14-06-06,429,507,520,PRED,23.9604,-106.9153,NA,3,29-04-06,07-05-06,20-05-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29-04-06,NA,NA,NA,09-05-06,14-06-06,M,NA
2006,C,5,SP,U,U,429,603,NA,CA007,802109742,CA056,NA,NA,NA,NA,NA,NA,M,F,RX.MX|BX.OX,2006-C-5,2006,2006,2006-RX.MX|BX.OX,NA,NA,26-05-06,26-05-06,26-05-06,26-05-06,509,512,603,HATCH,23.95976667,-106.919,1,3,09-05-06,12-05-06,03-06-06,03-06-06,607,628,NA,0,12,NA,NA,603,628,628,NA,07-06-06,28-06-06,NA,NA,NA,03-06-06,28-06-06,28-06-06,NA,03-06-06,NA,17,6.1,NA,NA,NA,NA,NA,NA,NA,NA,17,03-06-06,-1.964401294,03-06-06,10-05-06,09-05-06,1.964401294,NA,NA,26-05-06,28-06-06,M,NA
2006,C,6,SP,U,U,507,NA,NA,802109793,CA011,NA,NA,NA,NA,NA,NA,NA,M,F,WX.BX|sX.RM,2006-C-6,2006,2006,2006-WX.BX|sX.RM,NA,NA,30-05-06,30-05-06,30-05-06,30-05-06,507,512,610,UNHATCH,23.96018333,-106.91735,0,3,07-05-06,12-05-06,10-06-06,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07-05-06,NA,NA,NA,30-05-06,30-05-06,NA,F
