year,site,nest,species,ring,mate_ring,chick1,chick2,chick3,field_sex_focal,captured_focalyear_focal,field_sex_mate,captured_focalyear_mate,comments_field,comments_stdfile,code,nest.id,year.cr,year.mr,first.res,last.res,first.cap.r,last.cap.r,fate,northing,easting,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,times.adult.not.seen,total.brood.res,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen,mol_sex_focal,mol_sex_mate
2008,S,-12,KP,CA1093,CA1092,CA1091,NA,NA,M,yes,F,yes,NA,NA,MX.OX|WX.OX,2008-S--12,2012,2008,NA,NA,29-09-08,29-09-08,NA,NA,NA,NA,NA,NA,NA,NA,2,3,29-09-08,29-09-08,13-10-08,29-09-08,13-10-08,29-09-08,15-10-08,29-09-08,13-10-08,29-09-08,10.7,24.7,9,NA,NA,NA,NA,NA,NA,NA,NA,24.7,29-09-08,12.31111111,29-09-08,22-08-08,16-09-08,22-08-08,NA,29-09-08,29-09-08,M,F
2008,S,-16,KP,CA1142,CA1142,CA1143,CA1144,NA,M,yes,F,no,NA,NA,MX.OX|LX.YX,2008-S--16,2008,2008,20-10-08,21-12-08,01-10-08,01-10-08,NA,NA,NA,NA,NA,NA,NA,NA,5,6,07-10-08,07-10-08,13-10-08,07-10-08,13-10-08,01-10-08,22-10-08,13-10-08,22-10-08,01-10-08,12.4,30.2,16.5,01-10-08,13.3,29.2,15.6,NA,NA,NA,NA,30.2,01-10-08,24.53333333,01-10-08,12-08-08,06-09-08,12-08-08,NA,01-10-08,21-12-08,M,M
2008,S,-18,KP,CA1152,CA1152,CA1151,NA,NA,M,yes,F,no,NA,NA,MX.RX|OX.BX,2008-S--18,2008,2008,NA,NA,03-10-08,03-10-08,NA,NA,NA,NA,NA,NA,NA,NA,1,2,13-11-08,13-11-08,NA,NA,NA,03-10-08,13-11-08,03-10-08,13-11-08,03-10-08,7,20.6,5.6,NA,NA,NA,NA,NA,NA,NA,NA,20.6,03-10-08,3.2,03-10-08,04-09-08,29-09-08,04-09-08,NA,03-10-08,13-11-08,M,M
2008,S,-2,KP,CA1069,NA,CA1070,CA1071,CA1072,M,yes,F,no,NA,NA,MX.OX|BX.OX,2008-S--2,2008,2008,08-10-08,23-11-08,25-09-08,25-09-08,NA,NA,NA,NA,NA,NA,NA,NA,0,5,25-09-08,18-10-08,18-10-08,NA,NA,25-09-08,18-10-08,29-09-08,18-10-08,25-09-08,8,22,7.2,25-09-08,8.9,22.7,8.6,25-09-08,7.4,21.3,7,22.7,25-09-08,7.866666667,25-09-08,23-08-08,17-09-08,23-08-08,NA,25-09-08,23-11-08,M,NA
2008,S,-20,KP,CA1159,CA1157,CA1156,CA1158,NA,M,yes,F,yes,NA,NA,MX.RX|GX.OX,2008-S--20,2008,2008,NA,NA,04-10-08,04-10-08,NA,NA,NA,NA,NA,NA,NA,NA,2,3,04-10-08,04-10-08,07-10-08,04-10-08,07-10-08,04-10-08,07-10-08,07-10-08,NA,04-10-08,8,20.3,6,04-10-08,7,19.6,5.9,NA,NA,NA,NA,20.3,04-10-08,2.533333333,04-10-08,06-09-08,01-10-08,06-09-08,NA,04-10-08,04-10-08,M,NA
2008,S,-22,KP,CA1162,CA1137,CA1163,NA,NA,M,yes,F,yes,NA,NA,MX.RX|GX.YX,2008-S--22,2008,2008,21-10-08,21-10-08,05-10-08,05-10-08,NA,NA,NA,NA,NA,NA,NA,NA,0,1,05-10-08,05-10-08,NA,NA,NA,05-10-08,05-10-08,05-10-08,NA,05-10-08,8.8,22.5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,22.5,05-10-08,7.422222222,05-10-08,02-09-08,27-09-08,02-09-08,NA,05-10-08,21-10-08,M,X
2008,S,-23,KP,CA3032,MX.RX|LX.GX,NA,NA,NA,M,no,F,no,NA,NA,MX.RX|LX.LX,2008-S--23,2012,2009,06-10-08,30-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,05-10-08,07-11-08,NA,NA,NA,05-10-08,07-11-08,06-10-08,07-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05-10-08,30-11-08,F,NA
2008,S,-25,KP,CA1121,CA1169,CA1171,CA1172,CA1173,M,yes,F,yes,NA,NA,MX.LX|GX.RX,2008-S--25,2012,2007,NA,NA,06-10-08,06-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,18-10-08,01-11-08,NA,18-10-08,06-10-08,8.5,21.8,6.4,06-10-08,7.1,20.3,5.8,06-10-08,8.6,21.7,6.5,21.8,06-10-08,5.866666667,06-10-08,05-09-08,30-09-08,05-09-08,NA,06-10-08,06-10-08,M,F
2008,S,-26,KP,CA1176,CA1177,CA1175,NA,NA,M,yes,F,yes,NA,NA,MX.RX|LX.RX,2008-S--26,2008,2008,21-10-08,21-10-08,07-10-08,07-10-08,NA,NA,NA,NA,NA,NA,NA,NA,2,3,07-10-08,07-10-08,24-10-08,07-10-08,24-10-08,07-10-08,27-10-08,07-10-08,24-10-08,07-10-08,8.9,22.2,6.6,NA,NA,NA,NA,NA,NA,NA,NA,22.2,07-10-08,6.755555556,07-10-08,05-09-08,30-09-08,05-09-08,NA,07-10-08,21-10-08,M,F
2008,S,-27,KP,CA1180,CA1182,CA1179,NA,NA,M,yes,F,yes,NA,NA,MX.RX|OX.GX,2008-S--27,2008,2008,13-10-08,13-10-08,08-10-08,08-10-08,NA,NA,NA,NA,NA,NA,NA,NA,0,3,08-10-08,17-10-08,NA,NA,NA,08-10-08,17-10-08,08-10-08,16-10-08,08-10-08,8.3,21.8,6,NA,NA,NA,NA,NA,NA,NA,NA,21.8,08-10-08,5.866666667,08-10-08,07-09-08,02-10-08,07-09-08,NA,08-10-08,17-10-08,M,F
